"","results_7..2..","results_7..3.."
"1",0.00333333333333333,"0"
"2",0,"0"
"3",0,"0"
"4",0,"0"
"5",0,"0"
"6",0.00333333333333333,"0"
"7",0,"0"
"8",0.00333333333333333,"0"
"9",0.00111111111111111,"0"
"10",0,"0"
"11",0,"0"
"12",0,"0"
"13",0,"0"
"14",0,"0"
"15",0.0133333333333333,"0"
"16",0.0488888888888889,"0"
"17",0.00555555555555556,"0"
"18",0.04,"0"
"19",0.0388888888888889,"0"
"20",0,"0"
"21",0,"0"
"22",0,"0"
"23",0,"0"
"24",0,"0"
"25",0,"0"
"26",0.00333333333333333,"0"
"27",0.00444444444444444,"0"
"28",0.0177777777777778,"0"
"29",0,"0"
"30",0,"0"
"31",0.00111111111111111,"0"
"32",0,"0"
"33",0,"0"
"34",0.00333333333333333,"0"
"35",0,"0"
"36",0.00111111111111111,"0"
"37",0.00111111111111111,"0"
"38",0,"0"
"39",0,"0"
"40",0.00111111111111111,"0"
"41",0.0822222222222222,"0"
"42",0.00111111111111111,"0"
"43",0.00222222222222222,"0"
"44",0.00333333333333333,"0"
"45",0,"0"
"46",0,"0"
"47",0,"0"
"48",0.00555555555555556,"0"
"49",0,"0"
"50",0,"0"
"51",0,"0"
"52",0,"0"
"53",0,"0"
"54",0.0433333333333333,"0"
"55",0.0155555555555556,"0"
"56",0.00111111111111111,"0"
"57",0.0155555555555556,"0"
"58",0,"0"
"59",0,"0"
"60",0.00333333333333333,"0"
"61",0,"0"
"62",0,"0"
"63",0.00111111111111111,"0"
"64",0,"0"
"65",0,"0"
"66",0,"0"
"67",0,"0"
"68",0,"0"
"69",0,"0"
"70",0.00222222222222222,"0"
"71",0.00555555555555556,"0"
"72",0,"0"
"73",0,"0"
"74",0.00666666666666667,"0"
"75",0.00888888888888889,"0"
"76",0.06,"0"
"77",0.0111111111111111,"0"
"78",0.0222222222222222,"0"
"79",0.0222222222222222,"0"
"80",0.0322222222222222,"0"
"81",0.00888888888888889,"0"
"82",0,"0"
"83",0.00111111111111111,"0"
"84",0,"0"
"85",0.00111111111111111,"0"
"86",0,"0"
"87",0.00444444444444444,"0"
"88",0.00777777777777778,"0"
"89",0.0111111111111111,"0"
"90",0.00222222222222222,"0"
"91",0,"0"
"92",0,"0"
"93",0,"0"
"94",0.00111111111111111,"0"
"95",0,"0"
"96",0,"0"
"97",0.00777777777777778,"0"
"98",0,"0"
"99",0,"0"
"100",0,"0"
"101",0,"0"
"102",0.00777777777777778,"0"
"103",0.00444444444444444,"0"
"104",0.0577777777777778,"0"
"105",0.01,"0"
"106",0.00777777777777778,"0"
"107",0.00222222222222222,"0"
"108",0,"0"
"109",0,"0"
"110",0.0144444444444444,"0"
"111",0.00222222222222222,"0"
"112",0,"0"
"113",0,"0"
"114",0,"0"
"115",0.00444444444444444,"0"
"116",0.00222222222222222,"0"
"117",0,"0"
"118",0,"0"
"119",0.00111111111111111,"0"
"120",0,"0"
"121",0.00111111111111111,"0"
"122",0.00111111111111111,"0"
"123",0,"0"
"124",0.00333333333333333,"0"
"125",0.00111111111111111,"0"
"126",0.00222222222222222,"0"
"127",0.00888888888888889,"0"
"128",0.00333333333333333,"0"
"129",0,"0"
"130",0.00222222222222222,"0"
"131",0,"0"
"132",0.00333333333333333,"0"
"133",0.0155555555555556,"0"
"134",0.06,"0"
"135",0,"0"
"136",0,"0"
"137",0,"0"
"138",0.00222222222222222,"0"
"139",0,"0"
"140",0,"0"
"141",0,"0"
"142",0,"0"
"143",0,"0"
"144",0,"0"
"145",0.00111111111111111,"0"
"146",0,"0"
"147",0.00777777777777778,"0"
"148",0.00111111111111111,"0"
"149",0.00111111111111111,"0"
"150",0.00666666666666667,"0"
"151",0,"0"
"152",0.00222222222222222,"0"
"153",0.00111111111111111,"0"
"154",0,"0"
"155",0,"0"
"156",0,"0"
"157",0,"0"
"158",0.00111111111111111,"0"
"159",0,"0"
"160",0,"0"
"161",0,"0"
"162",0,"0"
"163",0,"0"
"164",0,"0"
"165",0,"0"
"166",0,"0"
"167",0.00444444444444444,"0"
"168",0.00111111111111111,"0"
"169",0.00222222222222222,"0"
"170",0.0388888888888889,"0"
"171",0.00222222222222222,"0"
"172",0.00111111111111111,"0"
"173",0.0166666666666667,"0"
"174",0.00444444444444444,"0"
"175",0.0188888888888889,"0"
"176",0.0111111111111111,"0"
"177",0.00444444444444444,"0"
"178",0.00555555555555556,"0"
"179",0.00333333333333333,"0"
"180",0.00444444444444444,"0"
"181",0.0133333333333333,"0"
"182",0.00222222222222222,"0"
"183",0.00222222222222222,"0"
"184",0,"0"
"185",0.00222222222222222,"0"
"186",0.0111111111111111,"0"
"187",0,"0"
"188",0,"0"
"189",0,"0"
"190",0.00444444444444444,"0"
"191",0.00888888888888889,"0"
"192",0,"0"
"193",0.00333333333333333,"0"
"194",0.00333333333333333,"0"
"195",0.00222222222222222,"0"
"196",0.00555555555555556,"0"
"197",0.125555555555556,"0"
"198",0.0122222222222222,"0"
"199",0.00444444444444444,"0"
"200",0.00555555555555556,"0"
"201",0,"0"
"202",0,"0"
"203",0.0311111111111111,"0"
"204",0.00222222222222222,"0"
"205",0,"0"
"206",0,"0"
"207",0,"0"
"208",0,"0"
"209",0,"0"
"210",0,"0"
"211",0,"0"
"212",0,"0"
"213",0.0244444444444444,"0"
"214",0.00111111111111111,"0"
"215",0,"0"
"216",0,"0"
"217",0.00111111111111111,"0"
"218",0.01,"0"
"219",0.0311111111111111,"0"
"220",0.00222222222222222,"0"
"221",0.00222222222222222,"0"
"222",0,"0"
"223",0.00222222222222222,"0"
"224",0.00111111111111111,"0"
"225",0.00111111111111111,"0"
"226",0,"0"
"227",0,"0"
"228",0.00666666666666667,"0"
"229",0.00444444444444444,"0"
"230",0.00555555555555556,"0"
"231",0.00111111111111111,"0"
"232",0,"0"
"233",0.00111111111111111,"0"
"234",0.00111111111111111,"0"
"235",0,"0"
"236",0,"0"
"237",0.00111111111111111,"0"
"238",0.00111111111111111,"0"
"239",0.00111111111111111,"0"
"240",0,"0"
"241",0,"0"
"242",0,"0"
"243",0,"0"
"244",0.00222222222222222,"0"
"245",0.01,"0"
"246",0.0111111111111111,"0"
"247",0.00111111111111111,"0"
"248",0.0155555555555556,"0"
"249",0.00444444444444444,"0"
"250",0.00222222222222222,"0"
"251",0.00111111111111111,"0"
"252",0,"0"
"253",0,"0"
"254",0,"0"
"255",0.0111111111111111,"0"
"256",0.0111111111111111,"0"
"257",0.00444444444444444,"0"
"258",0.00333333333333333,"0"
"259",0,"0"
"260",0,"0"
"261",0,"0"
"262",0.00111111111111111,"0"
"263",0,"0"
"264",0.00333333333333333,"0"
"265",0,"0"
"266",0,"0"
"267",0.0133333333333333,"0"
"268",0.00111111111111111,"0"
"269",0.00222222222222222,"0"
"270",0,"0"
"271",0,"0"
"272",0,"0"
"273",0.00111111111111111,"0"
"274",0.0177777777777778,"0"
"275",0,"0"
"276",0.00333333333333333,"0"
"277",0,"0"
"278",0,"0"
"279",0.00111111111111111,"0"
"280",0,"0"
"281",0.00777777777777778,"0"
"282",0.00111111111111111,"0"
"283",0,"0"
"284",0,"0"
"285",0,"0"
"286",0.0733333333333333,"0"
"287",0,"0"
"288",0.00111111111111111,"0"
"289",0,"0"
"290",0,"0"
"291",0,"0"
