Unnamed: 0,Heracleum.sosnowskyi,X_soc_5.15,X_silt_5.15,X_sand_5.15,X_cfvo_5.15,X_cec_5.15,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,long1,lat1,clim_long1,clim_lat1
641,1,51.0823745727539,39.1241493225098,36.0565528869629,14.617840766906701,36.801731109619105,2.85102105140686,8.60572338104248,19.944137573242198,1158.40100097656,24.601140975952102,-18.693250656127898,43.2943916320801,10.8555364608765,-5.47782707214355,16.5619583129883,-11.583984375,622.588562011719,98.96463012695308,18.449821472168,44.96952819824221,229.020858764648,98.35568237304692,197.130172729492,118.167373657227,51.601541,58.354645,51.583379633,58.416660367
759,1,37.830638885498,43.074069976806605,23.1772518157959,9.91633701324463,34.3719863891602,6.42828607559204,8.516261100769041,22.4671287536621,1034.77697753906,25.894887924194304,-12.3101224899292,38.205009460449205,13.8551836013794,1.08112812042236,18.5778770446777,-6.3945012092590305,625.349670410156,106.131645202637,19.4127521514893,47.6108551025391,230.942565917969,98.6673736572266,201.581893920898,136.615371704102,36.427712,52.232634000000004,36.416709933,52.249992467
602,1,94.77438354492192,36.1831092834473,41.8061943054199,9.818352699279789,30.907865524292003,5.41273832321167,8.03910160064697,22.0127601623535,967.7031860351559,24.099739074707,-12.8146800994873,36.9144172668457,14.852649688720698,-3.2656581401825,16.84938621521,-6.55966520309448,670.7496337890619,112.952880859375,23.281593322753896,47.943572998046896,256.734588623047,95.7474899291992,240.843292236328,116.682098388672,34.849699,56.473121,34.916709633,56.416659967
201,1,59.3092193603516,38.435310363769496,43.4091110229492,9.04934978485107,25.9146575927734,5.829644680023191,8.07802772521973,22.1731357574463,978.119506835938,24.4331130981445,-12.3764905929565,36.8096046447754,14.3092565536499,-0.673482179641724,17.3638706207275,-6.303155899047849,637.4107666015619,108.855781555176,21.2436599731445,47.4915618896484,240.733642578125,97.6005630493164,220.45397949218798,122.633018493652,35.301139,54.75455600000001,35.250043033000004,54.749992967
237,1,142.085357666016,34.716232299804695,51.596256256103494,11.7917070388794,27.5255565643311,3.7487213611602797,6.995672225952151,19.3633880615234,947.0369262695309,22.133031845092802,-14.3922214508057,36.5252532958984,13.426830291747999,-3.83183860778809,15.181542396545401,-7.89383411407471,645.086975097656,103.49114990234399,18.793664932251,46.2470626831055,253.987518310547,89.8586273193359,240.590530395508,114.532455444336,34.368527,61.780839,34.416709533,61.749994367
1497,1,108.84173583984399,29.377405166626,47.52726745605471,10.3367023468018,28.5923900604248,2.8677980899810804,8.0225305557251,20.858211517334002,992.7042846679691,22.5482749938965,-16.3311176300049,38.87939453125,10.294379234313999,-3.64226365089417,14.9552669525146,-9.31606292724609,731.188720703125,109.183853149414,23.326147079467802,41.420928955078104,270.931121826172,108.396835327148,247.886260986328,144.70187377929702,34.43285529999999,62.9424906,34.416709533,62.916661266999995
1806,1,142.085357666016,34.716232299804695,51.596256256103494,11.7917070388794,27.5255565643311,3.7487213611602797,6.995672225952151,19.3633880615234,947.0369262695309,22.133031845092802,-14.3922214508057,36.5252532958984,13.426830291747999,-3.83183860778809,15.181542396545401,-7.89383411407471,645.086975097656,103.49114990234399,18.793664932251,46.2470626831055,253.987518310547,89.8586273193359,240.590530395508,114.532455444336,34.3578689,61.77846160000001,34.416709533,61.749994367
1090,1,142.085357666016,34.716232299804695,51.596256256103494,11.7917070388794,27.5255565643311,3.7487213611602797,6.995672225952151,19.3633880615234,947.0369262695309,22.133031845092802,-14.3922214508057,36.5252532958984,13.426830291747999,-3.83183860778809,15.181542396545401,-7.89383411407471,645.086975097656,103.49114990234399,18.793664932251,46.2470626831055,253.987518310547,89.8586273193359,240.590530395508,114.532455444336,34.353260999999996,61.749283999999996,34.416709533,61.749994367
1590,1,82.4436492919922,35.3537635803223,47.7411956787109,10.580133438110401,27.5780239105225,5.27708864212036,7.82708930969238,21.417499542236303,969.3031616210941,24.0280590057373,-12.9218492507935,36.9499053955078,14.937391281127901,-3.38759708404541,16.7971630096436,-6.6786203384399405,652.825439453125,107.32576751709,22.5325927734375,46.007926940918,252.550186157227,93.0776214599609,241.15379333496102,114.076484680176,34.595192600000004,57.600201299999995,34.583376233,57.583326867
1377,1,82.4436492919922,35.3537635803223,47.7411956787109,10.580133438110401,27.5780239105225,5.27708864212036,7.82708930969238,21.417499542236303,969.3031616210941,24.0280590057373,-12.9218492507935,36.9499053955078,14.937391281127901,-3.38759708404541,16.7971630096436,-6.6786203384399405,652.825439453125,107.32576751709,22.5325927734375,46.007926940918,252.550186157227,93.0776214599609,241.15379333496102,114.076484680176,34.5752934,57.6237254,34.583376233,57.583326867
748,1,86.77782440185551,32.212879180908196,45.597694396972706,10.2783946990967,30.542785644531197,5.44976472854614,8.01140403747559,22.073753356933604,961.7576293945309,24.018651962280302,-12.6663398742676,36.684989929199205,14.9821128845215,-3.0711970329284703,16.8221092224121,-6.46266412734985,657.94140625,110.702293395996,22.7433185577393,47.778392791748,251.003326416016,94.47657012939449,236.440216064453,115.98699951171899,34.820682,56.304827,34.750042933,56.249993267
1692,1,86.77782440185551,32.212879180908196,45.597694396972706,10.2783946990967,30.542785644531197,5.44976472854614,8.01140403747559,22.073753356933604,961.7576293945309,24.018651962280302,-12.6663398742676,36.684989929199205,14.9821128845215,-3.0711970329284703,16.8221092224121,-6.46266412734985,657.94140625,110.702293395996,22.7433185577393,47.778392791748,251.003326416016,94.47657012939449,236.440216064453,115.98699951171899,34.8206651,56.3048015,34.750042933,56.249993267
1197,1,84.629020690918,22.6946201324463,38.294189453125,7.41885709762573,22.873083114624,4.92586755752563,7.82223272323608,21.2331638336182,978.037109375,23.672174453735398,-13.518207550048801,37.1903839111328,14.724463462829599,-4.2943868637085005,16.465641021728498,-7.20416688919067,659.439697265625,107.165802001953,22.586767196655302,45.8385238647461,258.704467773438,92.1693496704102,248.168273925781,111.924995422363,34.488893700000006,58.199272,34.416709533,58.249993667
